"POPCTRRAuid","POPCTRRAdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","XPRuid","CMAuid"
"0001","2021S05100001","Acton","2","2",9377,3585,3519,9462,9462,3577,3512,"7.8376","0","0","0","35",,"535"
"0002","2021S05100002","Acton Vale","4","2",5220,2466,2394,5399,5617,2572,2472,"5.5772","1","0","0","24",,
"0003","2021S05100003","Airdrie","6","3",73578,26853,26124,61082,61082,22219,21488,"33.0346","0","0","0","48",,"825"
"0005","2021S05100005","Alençon","4","2",1585,755,721,1562,1567,716,692,"2.9775","1","0","0","24",,
"0006","2021S05100006","Alexandria","4","2",2906,1478,1416,2845,2845,1406,1339,"2.0689","0","0","0","35",,
"0007","2021S05100007","Alfred","4","2",1086,516,491,1185,1185,548,520,"0.8654","0","0","0","35",,
"0008","2021S05100008","Alliston","6","2",23253,8968,8739,18809,19092,7603,7436,"18.7782","1","0","0","35",,"535"
"0009","2021S05100009","Alma","1","2",20274,9987,9533,21406,21490,10181,9789,"15.9366","1","0","0","24",,"410"
"0010","2021S05100010","Almonte","2","2",6098,2810,2728,5039,5536,2466,2367,"4.158","1","0","0","35",,"505"
"0011","2021S05100011","Altona","4","2",4227,1759,1699,4167,4177,1687,1639,"4.8014","1","0","0","46",,
"0012","2021S05100012","Amherst","4","2",9548,4866,4545,9550,9550,4815,4440,"12.3766","0","0","0","12",,
"0014","2021S05100014","Amherstburg","6","2",15177,6210,6050,13910,14003,5685,5571,"13.6986","1","0","0","35",,"559"
"0015","2021S05100015","Amos","1","2",9281,4794,4542,10005,10005,4787,4572,"8.4278","0","0","0","24",,"481"
"0016","2021S05100016","Amqui","4","2",4560,2329,2219,4511,4729,2314,2241,"6.5328","1","0","0","24",,
"0018","2021S05100018","Angus - Borden CFB-BFC","1","2",14503,5158,5008,12640,12561,4447,4272,"14.1911","1","0","0","35",,"563"
"0019","2021S05100019","Antigonish","4","2",5620,3212,2664,5002,5079,2949,2316,"5.8808","1","0","0","12",,
"0020","2021S05100020","Armstrong","4","2",5323,2292,2217,5114,5114,2143,2132,"5.2185","0","0","0","59",,
"0021","2021S05100021","Arnprior","6","2",11305,5149,4982,10426,10426,4794,4565,"12.0892","0","0","0","35",,"505"
"0022","2021S05100022","Arthur","4","2",2628,1043,1007,2333,2556,1016,1002,"4.2425","1","0","0","35",,
"0023","2021S05100023","Asbestos","4","2",5623,2933,2805,5205,5388,2746,2595,"5.1715","1","0","0","24",,
"0024","2021S05100024","Ashcroft","4","2",1182,643,576,1084,1084,575,536,"2.0456","0","0","0","59",,
"0025","2021S05100025","Assiniboia","4","2",2333,1235,1069,2389,2389,1209,1100,"2.3856","0","0","0","47",,
"0028","2021S05100028","Atikokan","4","2",1929,1043,912,1944,1965,1020,909,"2.3667","1","0","0","35",,
"0030","2021S05100030","Aylmer","4","2",7975,3243,3131,7621,7753,3090,3020,"7.1987","1","0","0","35",,
"0031","2021S05100031","Ayr","2","2",5383,1871,1841,4171,4858,1669,1663,"5.7611","1","0","0","35",,"541"
"0036","2021S05100036","Baie-Comeau","2","2",9100,4487,4221,9610,9610,4523,4286,"11.2833","0","0","0","24",,"406"
"0037","2021S05100037","Baie-Saint-Paul","4","2",4308,2171,2068,4868,4868,2525,2301,"4.0281","0","0","0","24",,
"0038","2021S05100038","Golden","4","2",1143,509,456,1154,1154,578,494,"0.9295","0","0","0","35",,
"0040","2021S05100040","Banff","4","2",8305,3287,2930,7851,7851,2729,2543,"4.0834","0","0","0","48",,
"0041","2021S05100041","Barraute","4","2",1090,542,523,1099,1099,515,506,"1.3234","0","0","0","24",,
"0042","2021S05100042","Barrhead","4","2",4055,1874,1731,4387,4387,1925,1831,"4.7296","0","0","0","48",,
"0043","2021S05100043","Barrie","1","4",154676,59529,57533,145614,146394,55902,54144,"95.3318","1","0","0","35",,"568"
"0044","2021S05100044","Barry's Bay","4","2",1084,586,509,1259,1259,582,523,"2.2521","0","0","0","35",,
"0045","2021S05100045","Bathurst","1","2",15985,8360,7631,15557,15867,8209,7398,"27.915","1","0","0","13",,"328"
"0046","2021S05100046","Bay Roberts","4","2",6897,3184,2888,7100,6896,3039,2776,"16.8842","1","0","0","10",,
"0047","2021S05100047","Beauceville","4","2",3598,1743,1655,3769,3769,1784,1718,"6.0727","0","0","0","24",,
"0050","2021S05100050","Beaupré","4","2",6342,3560,2923,5889,6053,3155,2661,"11.2097","1","0","0","24",,
"0051","2021S05100051","Beausejour","4","2",3123,1475,1397,2895,3003,1420,1347,"3.1132","1","0","0","46",,
"0052","2021S05100052","Beaverlodge","4","2",2251,1010,914,2327,2440,1015,944,"3.3279","1","0","0","48",,
